season,round,pick,team,player_name,position,college
2026,1,1,LV,Fernando Mendoza,QB,Indiana
2026,1,2,NYJ,David Bailey,DE,Texas Tech
2026,1,3,ARI,Jeremiyah Love,RB,Notre Dame
2026,1,4,TEN,Carnell Tate,WR,Ohio State
2026,1,5,NYG,Arvell Reese,OLB,Ohio State
2026,1,6,KC,Mansoor Delane,CB,LSU
2026,1,7,WAS,Sonny Styles,OLB,Ohio State
2026,1,8,NO,Jordyn Tyson,WR,Arizona State
2026,1,9,CLE,Spencer Fano,OT,Utah
2026,1,10,NYG,Francis Mauigoa,OT,Miami
2026,1,11,DAL,Caleb Downs,S,Ohio State
2026,1,12,MIA,Kadyn Proctor,OT,Alabama
2026,1,13,LAR,Ty Simpson,QB,Alabama
2026,1,14,BAL,Olaivavega Ioane,OG,Penn State
2026,1,15,TB,Rueben Bain Jr.,DE,Miami
2026,1,16,NYJ,Kenyon Sadiq,TE,Oregon
2026,1,17,DET,Blake Miller,OT,Clemson
2026,1,18,MIN,Caleb Banks,DT,Florida
2026,1,19,CAR,Monroe Freeling,OT,Georgia
2026,1,20,PHI,Makai Lemon,WR,USC
2026,1,21,PIT,Max Iheanachor,OT,Arizona State
2026,1,22,LAC,Akheem Mesidor,DE,Miami
2026,1,23,DAL,Malachi Lawrence,DE,UCF
2026,1,24,CLE,KC Concepcion,WR,Texas A&M
2026,1,25,CHI,Dillon Thieneman,S,Oregon
2026,1,26,HOU,Keylan Rutledge,OG,Georgia Tech
2026,1,27,MIA,Chris Johnson,CB,San Diego State
2026,1,28,NE,Caleb Lomu,OT,Utah
2026,1,29,KC,Peter Woods,DT,Clemson
2026,1,30,NYJ,Omar Cooper Jr.,WR,Indiana
2026,1,31,TEN,Keldric Faulk,DE,Auburn
2026,1,32,SEA,Jadarian Price,RB,Notre Dame
2026,2,33,SF,De'Zhaun Stribling,WR,Mississippi
2026,2,34,ARI,Chase Bisontis,OG,Texas A&M
2026,2,35,BUF,T.J. Parker,DE,Clemson
2026,2,36,HOU,Kayden McDonald,DT,Ohio State
2026,2,37,NYG,Colton Hood,CB,Tennessee
